ZipCodeStart,ZipCodeEnd,WeightStart,WeightEnd,AbsoluteMoneyCost,PricePercent,PriceByExtraWeight,MaxVolume,TimeCost,Country,operationType,restrictedFreights
01000000,09999999,0,500,36.90,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,501,1000,36.90,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,1001,1500,45.50,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,1501,2000,45.50,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,2001,3000,54.10,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,3001,4000,62.90,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,4001,5000,71.70,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,5001,6000,76.90,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,6001,7000,83.60,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,7001,8000,90.40,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,8001,9000,97.10,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,9001,10000,103.90,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,10001,11000,113.80,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,11001,12000,123.70,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,12001,13000,133.60,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,13001,14000,143.50,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,14001,15000,153.40,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,15001,16000,163.30,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,16001,17000,173.20,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,17001,18000,183.10,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,18001,19000,193.00,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,19001,20000,202.90,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,20001,21000,212.80,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,21001,22000,222.70,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,22001,23000,232.60,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,23001,24000,242.50,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,24001,25000,252.40,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,25001,26000,262.30,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,26001,27000,272.20,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,27001,28000,282.10,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,28001,29000,292.00,5,0,100000000,4.00:00:00,BRA,1,
01000000,09999999,29001,30000,301.90,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,0,500,36.90,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,501,1000,36.90,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,1001,1500,45.50,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,1501,2000,45.50,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,2001,3000,54.10,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,3001,4000,62.90,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,4001,5000,71.70,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,5001,6000,76.90,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,6001,7000,83.60,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,7001,8000,90.40,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,8001,9000,97.10,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,9001,10000,103.90,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,10001,11000,113.80,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,11001,12000,123.70,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,12001,13000,133.60,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,13001,14000,143.50,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,14001,15000,153.40,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,15001,16000,163.30,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,16001,17000,173.20,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,17001,18000,183.10,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,18001,19000,193.00,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,19001,20000,202.90,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,20001,21000,212.80,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,21001,22000,222.70,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,22001,23000,232.60,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,23001,24000,242.50,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,24001,25000,252.40,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,25001,26000,262.30,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,26001,27000,272.20,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,27001,28000,282.10,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,28001,29000,292.00,5,0,100000000,4.00:00:00,BRA,1,
10000000,19999999,29001,30000,301.90,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,0,500,47.90,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,501,1000,47.90,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,1001,1500,56.90,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,1501,2000,56.90,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,2001,3000,66.80,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,3001,4000,76.80,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,4001,5000,86.30,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,5001,6000,95.30,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,6001,7000,105.20,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,7001,8000,114.70,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,8001,9000,124.40,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,9001,10000,134.30,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,10001,11000,147.10,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,11001,12000,159.90,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,12001,13000,172.70,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,13001,14000,185.50,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,14001,15000,198.30,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,15001,16000,211.10,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,16001,17000,223.90,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,17001,18000,236.70,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,18001,19000,249.50,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,19001,20000,262.30,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,20001,21000,275.10,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,21001,22000,287.90,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,22001,23000,300.70,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,23001,24000,313.50,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,24001,25000,326.30,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,25001,26000,339.10,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,26001,27000,351.90,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,27001,28000,364.70,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,28001,29000,377.50,5,0,100000000,4.00:00:00,BRA,1,
20000000,24799999,29001,30000,390.30,5,0,100000000,4.00:00:00,BRA,1,
24800000,28999999,0,500,47.90,5,0,100000000,5.00:00:00,BRA,1,
24800000,28999999,501,1000,47.90,5,0,100000000,5.00:00:00,BRA,1,
24800000,28999999,1001,1500,56.90,5,0,100000000,5.00:00:00,BRA,1,
24800000,28999999,1501,2000,56.90,5,0,100000000,5.00:00:00,BRA,1,
24800000,28999999,2001,3000,66.80,5,0,100000000,5.00:00:00,BRA,1,
24800000,28999999,3001,4000,76.80,5,0,100000000,5.00:00:00,BRA,1,
24800000,28999999,4001,5000,86.30,5,0,100000000,5.00:00:00,BRA,1,
24800000,28999999,5001,6000,95.30,5,0,100000000,5.00:00:00,BRA,1,
24800000,28999999,6001,7000,105.20,5,0,100000000,5.00:00:00,BRA,1,
24800000,28999999,7001,8000,114.70,5,0,100000000,5.00:00:00,BRA,1,
24800000,28999999,8001,9000,124.40,5,0,100000000,5.00:00:00,BRA,1,
24800000,28999999,9001,10000,134.30,5,0,100000000,5.00:00:00,BRA,1,
